file,subject,source,author,licence,notes
trucks.webp,Row of commercial trucks on a yard,Freepik via Magnific,aleksandarlittlewolf,Freepik licence,"Verified real photo (url /free-photo/); grille checked at 100%, no branding or plates"
excavators.webp,Two tracked excavators on open ground,Freepik via Magnific,wirestock,Freepik licence,"Verified real photo (url /free-photo/)"
yard.webp,Aerial view of a plant and machinery yard,Freepik via Magnific,doralin,Freepik licence,"Verified real photo (url /premium-photo/)"
yard-tall.webp,Aerial view of a plant and machinery yard (portrait crop),Freepik via Magnific,doralin,Freepik licence,"Same source as yard.webp, cropped portrait"
factory.webp,Machinery inside an industrial building being cleared,Freepik via Magnific,KamranAydinov,Freepik licence,"Verified real photo (url /free-photo/)"
workshop.webp,Commercial vehicle in a workshop with diagnostic equipment,Freepik via Magnific,aleksandarlittlewolf,Freepik licence,"Verified real photo (url /free-photo/); checked at 100%, no branding"
collection.webp,Mini excavator loaded on a plant trailer,Freepik via Magnific,kintop,Freepik licence,"Verified real photo (url /premium-photo/); checked at 100%, no plate or branding"
cat-plant.webp,Excavators standing on a yard (Plant and machinery card),Freepik via Magnific,kintop,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop; no readable branding or plates"
cat-commercial.webp,Tipper with the body raised (Commercial vehicles card),Freepik via Magnific,another69,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop"
cat-vans.webp,Row of white panel vans (Ex-fleet vans card),Freepik via Magnific,tarasov_vl,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop; no plates visible"
cat-agri.webp,Telehandler lifting a straw bale (Agricultural machinery card),Freepik via Magnific,exxsn,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop"
cat-catering.webp,Commercial kitchen with planetary mixers and stainless (Catering equipment card),Freepik via Magnific,oksix,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop"
cat-insolvency.webp,Workshop interior with machinery and a vehicle still in place (Liquidation and insolvency card),Freepik via Magnific,vvoennyy,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop"
cat-workshop.webp,Lathes in a machine shop (Industrial and workshop machinery card),Freepik via Magnific,malitskiybogdan,Freepik Premium licence,"Verified real photo (url /premium-photo/); 16:10 centre crop; seller page only"
cat-mixed.webp,Racking and boxed contents of a unit (Mixed business assets card),Freepik via Magnific,DC Studio,Freepik Free licence,"Verified real photo (url /free-photo/); 16:10 centre crop; seller page only"
